JobTitle,Company,Location,is_remote,Salary,Benefits,listing_date,date_parsed,URL
"Senior Data Analyst (Power BI, Tableu)","Novare Technologies, Inc.",Taguig City,N,,"['Employee Educational Benefits Assistance', 'Hybrid Work Set-up', 'Day-Shift']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78124554?type=standout&ref=search-standalone
Data Visualization Specialist,LSEG (London Stock Exchange Group),Taguig City,N,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78256502?type=standout&ref=search-standalone
Analytics Client Service Analyst,MSCI Hong Kong Limited,Makati City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78265837?type=standout&ref=search-standalone
PowerBI Data Visualization Specialist,Teleperformance,Taguig City,N,,"['Great Place to Work', 'Competitive Salary', 'Start ASAP']",4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78275002?type=standout&ref=search-standalone
"Senior Data and Insights Analyst (Python, SQL, PowerBI) | WFH | Dayshift AU",Satellite Office,Metro Manila,Y,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78244297?type=standard&ref=search-standalone
Data Engineer,Home Credit Philippines,Taguig City,Y,,"['Hybrid work set up', 'Permanent dayshift schedule', 'Up to 20% variable performance-based bonus']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78107017?type=standout&ref=search-standalone
Data Management Specialist,Home Credit Philippines,Taguig City,N,,"['Hybrid Setup', 'HMO on Day 1 and HMO dependents coverage including same-sex partners', 'Up to 20% Annual Performance Bonus']",6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78199041?type=standout&ref=search-standalone
"URGENT: Data Analyst II |  Power BI, SQL, Python | Hybrid","Regal-Beloit Asia, Pte., Ltd., ROHQ",Pasig City,Y,"₱48,000 – ₱62,000 per month","['Competitive salary', 'Hybrid work set-up', 'Career growth opportunities']",12d ago,2024-08-25,https://www.jobstreet.com.ph/job/78034557?type=standout&ref=search-standalone
Python Developer | Advance Pooling | Late Mid-Shift,Infinit-O,Pasay City,N,,"['Remote-First Work Set-Up', 'Career Advancement Opportunities', 'Retirement Benefit Plan']",4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78281886?type=standout&ref=search-standalone
Data Operations Senior Manager - SQL/Python Developer,"JPMorgan Chase Bank, N.A.",Metro Manila,N,,,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78226932?type=standard&ref=search-standalone
Data Annotation / Generation Engineer,Pointwest Innovations Corp.,Quezon City,N,,"['HMO & Life Insurance', 'Collaborative Culture', 'Work-life Balance']",5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78238316?type=standout&ref=search-standalone
BI Developer (Reports Developer),OpenMed Inc.,Makati City,Y,"₱130,000 – ₱150,000 per month","['Hybrid work set up (equipment provided)', 'Direct hire with HMO plus 2 free dependents', 'Growth Opportunities as we continuously expand in PH, and US, LATAM!']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78309575?type=standout&ref=search-standalone
Business Intelligence Developer,Manulife Business Processing Services (MBPS),Quezon City,N,,"['Competitive Salary and Benefits Package', 'Award-winning Employer', 'Day 1 HMO + Up to 5 FREE Dependents']",9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78147777?type=standout&ref=search-standalone
Data Analyst,Home Credit Philippines,Taguig City,N,,"['Hybrid work set-up; permanent dayshift schedule', 'Up to 20% variable performance-based bonus', 'HMO on Day 1 with dependents; access to mental health coverage']",14d ago,2024-08-25,https://www.jobstreet.com.ph/job/78006952?type=standout&ref=search-standalone
Data Analyst,"Tenet Global Business Center, Inc.",Taguig City,Y,,,8d ago,2024-08-25,https://www.jobstreet.com.ph/job/78176294?type=standout&ref=search-standalone
Power BI Developer | Day Shift | Onsite | Makati | Day 1 HMO,Emapta,Metro Manila,N,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78326748?type=standard&ref=search-standalone
"Senior Data Admin - ETL (PostgreSQL, Airflow and Jupyter)","Novare Technologies, Inc.",Taguig City,N,,"['Employee Educational Assistance Benefits', 'Hybrid Work Set-up', 'Day-shift']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78124466?type=standout&ref=search-standalone
Senior Business Analyst,MSCI Hong Kong Limited,Makati City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78281475?type=standout&ref=search-standalone
CRM Analytics Specialist - BGC Taguig,Manpower Philippines,Taguig City,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78314042?type=standard&ref=search-standalone
BUSINESS INTELLIGENCE ANALYST I,"Tyco Electronics Philippines, Inc.",Makati City,N,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78317143?type=standard&ref=search-standalone
Data Architect - Data Architecture Principles,Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78311516?type=standard&ref=search-standalone
AI Operations Manager,EngineRoom Applications,Makati City,Y,"₱80,000 – ₱100,000 per month",,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78334813?type=standard&ref=search-standalone
Claims Data Analytics Supervisor,AIA (Web),Makati City,N,,,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78230578?type=standard&ref=search-standalone
Data Technician,DDC DATA PROCESSING OPC,Mandaluyong City,N,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78254800?type=standard&ref=search-standalone
Senior Data Engineer (PySpark),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78312289?type=standard&ref=search-standalone
Data Engineer (Informatica),"IBM Business Services, Inc.",Quezon City,N,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78251178?type=standard&ref=search-standalone
"Data Engineer - Python, SQL & GCP (AU Media, Home-based)",ConnectOS,Metro Manila,Y,"₱150,000 – ₱180,000 per month","['Home-based', 'Medical, Dental Coverage and Life insurance from day 1 of employment', 'Paid Vacation and Sick Leave (with Quarterly Sick Leave Conversion)']",6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78202640?type=standout&ref=search-standalone
Data Analyst,"Aarki,LLC",Makati City,Y,"₱30,000 – ₱45,000 per month","['Competitive salary', 'Unlimited Time-off', 'Hybrid Work']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78126867?type=standout&ref=search-standalone
Urgent! Data Engineer - Hybrid(DayShift),YONDU INC.,Metro Manila,Y,,,9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78148588?type=standard&ref=search-standalone
Data and Insights Analyst (Work From Home),Satellite Office,Taguig City,Y,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78298665?type=standard&ref=search-standalone
"Forecasting, Planning, & Analysis - Spending Optimization",Shopee Philippines Inc.,Manila City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78283730?type=standard&ref=search-standalone
Actuarial Analytics Manager,AXA Philippines,Makati City,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78313968?type=standard&ref=search-standalone
IT Data Engineer | Morning Shift | Hybrid/Onsite (Antipolo),INTELEGENCIA BPO LLC CORP.,Antipolo City,Y,"₱60,000 – ₱80,000 per month",,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78223869?type=standard&ref=search-standalone
Data Science Practitioner,Accenture,Metro Manila,N,,,13d ago,2024-08-25,https://www.jobstreet.com.ph/job/78032475?type=standard&ref=search-standalone
"Senior Manager, Digital Analytics (Asia)","Sun Life of Canada (Philippines), Inc.",Bonifacio Global City,N,,"['Great Place To Work Certified', 'Competitive Compensation and Benefits', 'Flexible Work Arrangement']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78310019?type=standout&ref=search-standalone
Data Analyst,Risewave Consulting Inc.,Makati City,N,,,10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78133894?type=standard&ref=search-standalone
Amazon QuickSight Data Engineer,"Vertere Global Solutions, Inc.",Valenzuela City,N,,,9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78144587?type=standard&ref=search-standalone
Implementation Coordinator - Data Specialist | Permanent WFH | Day 1 HMO,Emapta,Metro Manila,Y,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78339646?type=standard&ref=search-standalone
Junior BI Developer,Octal Philippines Inc.,Quezon City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78284556?type=standard&ref=search-standalone
Data Engineer (PySpark),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78312288?type=standard&ref=search-standalone
Data Visualization Specialist,LSEG (London Stock Exchange Group),Taguig City,N,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78256502?type=standout&ref=search-standalone
Data Analyst (Work From Home),"Peak Outsourcing, Inc.",Makati City,Y,"₱40,000 – ₱50,000 per month",,9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78154670?type=standard&ref=search-standalone
Analytics Client Service Analyst,MSCI Hong Kong Limited,Makati City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78265837?type=standout&ref=search-standalone
Google Big Query,Ayuda Business Management Solutions Inc.,Mandaluyong City,N,"₱80,000 – ₱100,000 per month",,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78251937?type=standard&ref=search-standalone
Data Analyst Banking (Hybrid Set up),ATOMIT Corp.,Mandaluyong City,Y,,,5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78240078?type=standard&ref=search-standalone
